23,15732,28894,1
4325,27,40318,1
24,79,11572,1
25,160,41911,1
18,27,21101,1
7,21297,36550,1
1625,7368,14029,2
17,201,21279,1
0,8804,17680,1
1,2,19460,1
7,17,22357,1
7,17,22356,2
27,165,11437,1
5,9,19854,1
33,1957,6524,2
37,22261,40582,26
37,22261,40583,1
21,77,10125,1
27,607,36087,1
7,160,11811,1
34,23100,44192,6
23,18623,28913,1
2735,27,40318,1
10,84,14735,1
16,165,7375,1
27,2305,6941,40
23,17973,28900,1
23,17973,28906,1
9,58,1045,1
19,73,28272,1
14,85,12679,1
22,77,5414,1
31,73,16949,1
19,85,13956,1
1665,27,14977,163
5,9,15294,1
14,58,10758,1
23,13831,28912,1
14,85,12675,1
1665,27,14976,483
2,3,20215,1
24,7565,43341,2
1665,27,14975,197
27,26,28157,1
33,7155,38911,1
6,87,19155,1
8,20315,37890,1
26,1950,39233,34
6,87,19152,2
6,87,19151,1
8,1146,32567,1
18,3,36920,12
7120,8156,23094,1
18,3,36922,12
2803,27,22466,1
18,3,36924,12
18,3,36925,12
18,3,36926,12
18,3,36927,11
18,3,36928,12
18,3,36929,12
10,73,16588,1
5956,27,28199,1
27,74,21154,2
5872,27,22466,1
1,2,5076,1
5,7759,39421,12
27,193,249,5
1780,8155,44964,1
28,26,15787,1
13,2806,22370,1
22,58,3254,1
21,27,31436,1
35,5,10032,1
21,27,31432,1
7248,27,20057,1
22,84,25209,1
27,3366,10631,1
8,89,32296,1
21,27,22470,1
20,25,45749,1
19,73,45741,1
1239,77,11656,6
1239,77,11655,63
1239,77,11654,3
1620,5565,11693,2
2,3,35118,1
18,3,39855,12
6,25,242,1
23,17641,28888,1
20,8,34215,1
22,80,19108,1
574,77,46096,1
11,79,32327,1
9,72,38137,1
7,79,11840,1
980,27,28199,1
23,19543,28900,1
18,3,39854,12
8,23108,44226,1
